Bin Center	Bin Actual	Gaus Mean	Mean Error	Gaus Sigma	Sig Error	X^2/DOF
2.000000	2.000456	2.434552	0.004402	0.196443	0.003304	3.250720
3.000000	3.020809	2.330053	0.004026	0.185786	0.002961	3.099430
4.000000	4.040601	2.270421	0.003826	0.165059	0.002496	3.687599
5.000000	5.056535	2.228884	0.004064	0.155539	0.002493	5.986096
6.000000	6.081987	2.202447	0.003667	0.155485	0.002917	3.509602
7.000000	7.079718	2.168353	0.003521	0.142153	0.002508	4.268242
8.000000	8.049205	2.146305	0.003311	0.134736	0.002277	2.700847
9.000000	9.041528	2.127356	0.003306	0.130095	0.002454	3.270099
10.000000	9.996779	2.107044	0.003183	0.125379	0.002259	3.236020
11.000000	11.010048	2.089033	0.003022	0.116292	0.002141	3.346345
12.000000	11.996911	2.075738	0.003133	0.120966	0.002560	4.156076
13.000000	12.999609	2.052433	0.002771	0.111916	0.001936	2.824307
14.000000	13.988188	2.043378	0.002755	0.109800	0.002070	3.809365
15.000000	15.000800	2.032444	0.002693	0.105164	0.001842	4.422261
16.000000	15.989002	2.015846	0.002775	0.103085	0.002114	3.896452
17.000000	17.000086	2.003263	0.002548	0.099522	0.002040	2.407037
18.000000	18.006178	1.990840	0.002655	0.101590	0.001838	4.000794
19.000000	19.001824	1.976737	0.002634	0.098416	0.001847	3.421304
20.000000	19.988013	1.973093	0.002471	0.096369	0.001784	2.426055
21.000000	21.008982	1.960852	0.002539	0.095175	0.001939	2.045569
22.000000	22.014393	1.950812	0.002385	0.093908	0.001864	2.918467
23.000000	23.003146	1.941921	0.002465	0.091756	0.001597	2.973220
24.000000	24.004293	1.933265	0.002482	0.090880	0.001673	3.113849
25.000000	24.987949	1.930667	0.002452	0.088327	0.001678	3.561006
26.000000	26.011623	1.921944	0.002409	0.090506	0.002073	4.336392
27.000000	26.997665	1.914322	0.002392	0.090634	0.001789	2.970745
28.000000	27.993405	1.908104	0.002324	0.086627	0.001696	3.036411
29.000000	28.993007	1.894327	0.002301	0.083061	0.001590	4.116192
30.000000	29.995687	1.887973	0.002175	0.079903	0.001272	4.111812
31.000000	30.988478	1.880989	0.002251	0.080542	0.001398	4.219048
32.000000	32.002405	1.876853	0.002239	0.081600	0.001619	4.391111
33.000000	32.996616	1.868689	0.002137	0.080423	0.001539	2.709595
34.000000	33.993583	1.861827	0.002185	0.082115	0.001680	1.851504
35.000000	35.000002	1.859167	0.002290	0.076910	0.001500	6.034170
36.000000	36.008386	1.851272	0.002179	0.073819	0.001422	5.657723
37.000000	37.002696	1.845118	0.002048	0.079214	0.001549	1.374324
38.000000	38.000913	1.841319	0.002064	0.079240	0.001473	0.814090
39.000000	39.011735	1.830906	0.002236	0.076908	0.001386	5.635226
40.000000	40.011025	1.828449	0.002059	0.077190	0.001522	1.697015
41.000000	40.996685	1.822824	0.002002	0.074152	0.001352	1.849772
42.000000	42.001290	1.817475	0.002135	0.073886	0.001499	3.896148
43.000000	42.996673	1.811932	0.002018	0.072423	0.001368	4.473099
44.000000	43.999395	1.809611	0.002115	0.075261	0.001515	4.946667
45.000000	45.014549	1.804751	0.002051	0.073895	0.001297	3.488135
46.000000	45.997398	1.800864	0.002083	0.075602	0.001461	2.910492
47.000000	46.991609	1.793297	0.002067	0.075210	0.001440	0.893435
48.000000	48.000167	1.790833	0.002007	0.073528	0.001620	1.770529
49.000000	48.979395	1.786279	0.001890	0.071245	0.001448	2.389958
50.000000	50.000017	1.781833	0.001924	0.068739	0.001482	2.631127
51.000000	51.000407	1.779064	0.001929	0.070861	0.001348	2.058692
52.000000	52.007093	1.772749	0.002040	0.070952	0.001335	4.074264
53.000000	53.000527	1.768448	0.001920	0.070941	0.001337	1.945819
54.000000	53.998512	1.766053	0.001938	0.069474	0.001357	4.405422
55.000000	54.990284	1.759781	0.001936	0.072216	0.001404	1.670656
