Bin Center	Bin Actual	Gaus Mean	Mean Error	Gaus Sigma	Sig Error	X^2/DOF
2.000000	2.003690	2.852897	0.003554	0.118323	0.002547	0.350842
3.000000	3.012249	2.714167	0.003391	0.107655	0.002491	0.765668
4.000000	4.039912	2.626593	0.003511	0.103413	0.002532	0.608381
5.000000	5.047571	2.566822	0.003273	0.099917	0.002563	0.869916
6.000000	6.022014	2.514316	0.003436	0.098731	0.002474	1.314003
7.000000	7.018314	2.463571	0.003184	0.093978	0.002444	0.720201
8.000000	7.996748	2.427788	0.003364	0.094906	0.002611	0.935310
9.000000	8.996556	2.402859	0.003180	0.091857	0.002352	1.281643
10.000000	9.996946	2.371311	0.003295	0.094516	0.002221	1.507187
11.000000	10.978625	2.348296	0.003436	0.094745	0.002449	2.181347
12.000000	11.998823	2.330111	0.003282	0.094494	0.002136	1.384569
13.000000	12.994039	2.304525	0.003278	0.094725	0.002560	0.316849
14.000000	14.004093	2.290372	0.003297	0.093147	0.002435	1.462160
15.000000	14.995919	2.272955	0.003229	0.091659	0.002260	0.760069
16.000000	15.993826	2.259179	0.003305	0.091313	0.002430	0.575417
17.000000	17.000962	2.239908	0.003307	0.092377	0.002394	0.738225
18.000000	18.003749	2.222527	0.003249	0.092158	0.002007	2.271514
19.000000	19.007663	2.216605	0.003348	0.092537	0.002428	0.810965
20.000000	19.990278	2.203595	0.003062	0.088584	0.002117	1.667290
21.000000	20.986206	2.195518	0.003396	0.094688	0.002243	1.209394
22.000000	22.013243	2.184298	0.003296	0.094910	0.002359	0.507290
23.000000	23.008451	2.176275	0.003134	0.090495	0.002082	0.749954
24.000000	23.994858	2.164050	0.003251	0.087383	0.002294	1.265134
25.000000	24.999913	2.156655	0.003194	0.090542	0.002447	1.511674
26.000000	25.996913	2.157176	0.003411	0.093548	0.002574	0.632837
27.000000	26.997459	2.143764	0.003315	0.092746	0.002356	0.522609
28.000000	28.005419	2.133400	0.003383	0.093139	0.002954	1.032211
29.000000	29.008370	2.131226	0.003368	0.091287	0.002312	1.688196
30.000000	29.990987	2.116023	0.003207	0.090177	0.002321	1.069440
31.000000	31.002223	2.118371	0.003123	0.089107	0.002308	0.296346
32.000000	31.991575	2.111354	0.003179	0.089527	0.002249	0.857830
33.000000	33.001858	2.100060	0.003223	0.089231	0.002215	0.938327
34.000000	34.005218	2.092538	0.003240	0.094145	0.002338	0.559921
35.000000	35.010800	2.097473	0.003129	0.089822	0.002218	0.845529
36.000000	35.999347	2.087704	0.003197	0.090457	0.002478	0.837306
37.000000	37.005703	2.080130	0.003328	0.090162	0.002393	1.138705
38.000000	37.976185	2.080054	0.003142	0.086642	0.002415	1.896953
39.000000	39.006897	2.070793	0.003155	0.091200	0.002330	0.760349
40.000000	40.003952	2.065272	0.003540	0.094237	0.002682	0.982757
41.000000	41.009150	2.070868	0.003369	0.091842	0.002520	0.723672
42.000000	41.999819	2.065890	0.003042	0.086543	0.002214	0.309372
43.000000	42.986331	2.051926	0.003304	0.088160	0.002479	2.189429
44.000000	44.000938	2.050382	0.003268	0.090811	0.002181	1.374349
45.000000	45.010856	2.049303	0.003195	0.091161	0.002386	1.191763
